paper,title,room,category
8826,"On the Efficient Market Hypothesis of Stock Market Indexes: The Role of
  Non-synchronous Trading and Portfolio Effects",Room 4,q-fin.TR
8827,"Quantum distillation: dynamical generation of low-entropy states of
  strongly correlated fermions in an optical lattice",Room 8,cond-mat.quant-gas
8828,"Mathematically Modeling the GPe/STN Neuronal Cluster to Account for
  Parkinsonian Tremor and Developing a Novel Method to Accurately Diagnose
  Parkinson's Disease Using Speech Measurements and an Artificial Neural
  Network",Room 2,q-bio.NC
8829,Quasi elementary contractions of Fano manifolds,Room 5,math.AG
8830,Fast Sampling for Bayesian Max-Margin Models,Room 1,stat.ML
8831,Regularity of Dirichlet nearly minimizing multiple-valued functions,Room 5,math.AP
8832,"A phylogeny of birds based on over 1,500 loci collected by target
  enrichment and high-throughput sequencing",Room 6,q-bio.GN
8833,Higher-Order Calculus of Variations on Time Scales,Room 5,math.OC
8834,No arbitrage and multiplicative special semimartingales,Room 4,q-fin.MF
8835,Dynamic Transition and Pattern Formation for Chemotactic Systems,Room 6,nlin.AO
8836,"Nested Reinforcement Learning Based Control for Protective Relays in
  Power Distribution Systems",Room 10,eess.SY
8837,Scattered context-free linear orderings,Room 12,cs.FL
8838,"Higher Dimensional Multiparameter Unitary and Nonunitary Braid Matrices:
  Even Dimensions",Room 5,math.QA
8839,"Exact distribution of the sample variance from a gamma parent
  distribution",Room 1,math.ST
8840,"Dynamic Programming based Time-Delay Estimation (TDE) Technique for
  Analysis of Time-varying Time-delay",Room 11,physics.plasm-ph
8841,Random Quantum Operations,Room 5,nlin.SI
8842,"Excited state calculations using phaseless auxiliary-field quantum Monte
  Carlo: potential energy curves of low lying C2 singlet states",Room 8,physics.comp-ph
8843,On the pseudospectrum of elliptic quadratic differential operators,Room 5,math.AP
8844,Surjunctivity for cellular automata in Besicovitch spaces,Room 5,math.DS
8845,"Methods of interpreting error estimates for grayscale image
  reconstructions",Room 2,stat.CO
8846,Graphical Comparison of MCMC Performance,Room 1,stat.CO
8847,TTC Domains,Room 4,econ.TH
8848,Review of sound card photogates,Room 2,physics.pop-ph
8849,"Semi-closed form prices of barrier options in the time-dependent CEV and
  CIR models",Room 12,q-fin.CP
8850,Soliton Fay identities. I. Dark soliton case,Room 5,nlin.SI
8851,"Topology of the regular part for infinitely renormalizable quadratic
  polynomials",Room 5,math.DS
8852,"An adaptive volatility method for probabilistic forecasting and its
  application to the M6 financial forecasting competition",Room 3,q-fin.PM
8853,Data-Driven Source Separation Based on Simplex Analysis,Room 2,eess.AS
8854,"Venue-based HIV testing at sex work hotspots to reach adolescent girls
  and young women living with HIV: a cross-sectional study in Mombasa, Kenya",Room 1,q-bio.OT
8855,Bias and Consistency in Three-way Gravity Models,Room 4,econ.EM
8856,"Efficient control of transient wave forms to prevent spreading
  depolarizations",Room 8,nlin.PS
8857,Essential arity gap of Boolean functions,Room 7,cs.DM
8858,Derivatives Pricing in Non-Arbitrage Market,Room 3,q-fin.PR
8859,"Analysis of the current-driven domain wall motion in a ratchet
  ferromagnetic strip",Room 8,physics.app-ph
8860,Cosmological test of the Yilmaz theory of gravity,Room 11,gr-qc
8861,Dynamic trees for streaming and massive data contexts,Room 1,stat.ME
8862,Bi-Directional ConvLSTM U-Net with Densley Connected Convolutions,Room 2,eess.IV
8863,"Luce, Trasparenze e Cinema tra Arte e Scienza - Light, Transparency and
  Cinema between Art and Science",Room 11,physics.pop-ph
8864,Deciding the Value 1 Problem of Probabilistic Leaktight Automata,Room 12,cs.FL
8865,Optimism and Pessimism in Strategic Interactions under Ignorance,Room 4,econ.TH
8866,"An EMG study of the lip muscles during covert auditory verbal
  hallucinations in schizophrenia",Room 2,q-bio.NC
8867,"A Generalization of the Robust Positive Expectation Theorem for Stock
  Trading via Feedback Control",Room 3,q-fin.ST
8868,"Motivations and locational factors of FDI in CIS countries: Empirical
  evidence from South Korean FDI in Kazakhstan, Russia, and Uzbekistan",Room 3,econ.GN
8869,"Moral Hazard, Dynamic Incentives, and Ambiguous Perceptions",Room 4,econ.GN
8870,Towards an enabling environment for social accountability in Bangladesh,Room 4,econ.GN
8871,Efficient and accurate simulation of the stochastic-alpha-beta-rho model,Room 3,q-fin.CP
8872,"The characteristic quasi-polynomials of the arrangements of root systems
  and mid-hyperplane arrangements",Room 7,math.CO
8873,Bonding of H in O vacancies of ZnO,Room 8,cond-mat.mtrl-sci
8874,Superfluid to Bose-glass transition in a 1D weakly interacting Bose gas,Room 8,cond-mat.quant-gas
8875,"Okun's law revisited. Is there structural unemployment in developed
  countries?",Room 3,q-fin.GN
8876,"The calculus structure of the Hochschild homology/cohomology of
  preprojective algebras of Dynkin quivers",Room 7,math.RT
8877,About the impossibility to prove P=NP and the pseudo-randomness in NP,Room 7,cs.CC
8878,"Portfolio optimisation under non-linear drawdown constraints in a
  semimartingale financial model",Room 4,q-fin.PM
8879,"Field-control, phase-transitions, and life's emergence",Room 6,q-bio.OT
8880,A Step towards Software Corrective Maintenance Using RCM model,Room 12,cs.SE
8881,"Quantum graphs whose spectra mimic the zeros of the Riemann zeta
  function",Room 5,nlin.CD
8882,"Test Models for Statistical Inference: Two-Dimensional Reaction Systems
  Displaying Limit Cycle Bifurcations and Bistability",Room 5,q-bio.MN
8883,Consensus Answers for Queries over Probabilistic Databases,Room 1,cs.DB
8884,"Parametric characterisation of a chaotic attractor using two scale
  Cantor measure",Room 12,nlin.CD
8885,Browsix: Bridging the Gap Between Unix and the Browser,Room 12,cs.OS
8886,The Weakness of Weak Ties in the Classroom,Room 4,cs.SI
8887,"Coalitional predictive control: consensus-based coalition forming with
  robust regulation",Room 10,eess.SY
8888,"Information, Impact, Ignorance, Illegality, Investing, and Inequality",Room 3,q-fin.EC
8889,"A Note on Identification of Match Fixed Effects as Interpretable
  Unobserved Match Affinity",Room 4,econ.EM
8890,"Noise-induced phase transitions: Effects of the noises' statistics and
  spectrum",Room 5,cond-mat.stat-mech
8891,"Acoustic echo cancellation with the dual-signal transformation LSTM
  network",Room 2,eess.AS
8892,Distribution Regression with Censored Selection,Room 1,econ.EM
8893,"Distributed Estimation, Information Loss and Exponential Families",Room 1,stat.ML
8894,Implicit Filter-and-sum Network for Multi-channel Speech Separation,Room 2,eess.AS
8895,"A mean-variance optimized portfolio constructed for investment in a
  reference security, for an investor with a preference towards an accepted set
  of securities",Room 4,q-fin.PM
8896,"Migrate when necessary: toward partitioned reclaiming for soft real-time
  tasks",Room 10,cs.OS
8897,"The Invertibility of Cellular Automata with Menory: Correcting Errors
  and New Conclusions",Room 6,nlin.CG
8898,"Closed-Form Directivity Expression for Arbitrary Volumetric Antenna
  Arrays",Room 11,eess.SP
8899,"Soliton groups as the reason for extreme statistics of unidirectional
  sea waves",Room 5,nlin.PS
8900,Geometric Invariant Theory via Cox Rings,Room 7,math.AG
8901,Asset and Factor Risk Budgeting: A Balanced Approach,Room 3,q-fin.PM
8902,"A nonstationary nonparametric Bayesian approach to dynamically modeling
  effective connectivity in functional magnetic resonance imaging experiments",Room 2,stat.AP
8903,Measuring risk with multiple eligible assets,Room 3,q-fin.RM
8904,"Smart Detector Cell: A Scalable All-Spin Circuit for Low Power
  Non-Boolean Pattern Recognition",Room 2,cs.ET
8905,"Fast Parallel Frequency Sweeping Algorithms for Robust ${\cal
  D}$-Stability Margin",Room 1,math.OC
8906,"Structural Break Detection in Quantile Predictive Regression Models with
  Persistent Covariates",Room 3,econ.EM
8907,Enhancing model identification with SINDy via nullcline reconstruction,Room 1,nlin.AO
8908,Specification of Products and Product Lines,Room 12,cs.SE
8909,"Detecting Sound Events Using Convolutional Macaron Net With Pseudo
  Strong Labels",Room 2,eess.AS
8910,Establishing and Measuring Standard Spreadsheet Practices for End-Users,Room 12,cs.HC
8911,"A Set-Theoretic Study of the Relationships of Image Models and Priors
  for Restoration Problems",Room 2,eess.IV
8912,"Design, construction and tests of a 3 GHz proton linac booster (LIBO)
  for cancer therapy",Room 11,physics.acc-ph
8913,MegaPipe: the MegaCam image stacking pipeline,Room 11,astro-ph.IM
8914,"Retrieval of Experiments with Sequential Dirichlet Process Mixtures in
  Model Space",Room 1,stat.ML
8915,Hamiltonian Hopf bifurcations and chaos of NLS/GP standing-wave modes,Room 5,nlin.CD
8916,"Transmembrane and Antimicrobial Peptides. Hydrophobicity, Amphiphilicity
  and Propensity to Aggregation",Room 6,q-bio.BM
8917,"On reconstruction formulas and algorithms for the thermoacoustic
  tomography",Room 5,math.AP
8918,"Active Set and EM Algorithms for Log-Concave Densities Based on Complete
  and Censored Data",Room 1,stat.ME
8919,"Feynman-Weinberg Quantum Gravity and the Extended Standard Model as a
  Theory of Everything",Room 11,hep-th
8920,Neural-estimator for the surface emission rate of atmospheric gases,Room 1,cs.NE
8921,Multimodal deep learning for short-term stock volatility prediction,Room 3,q-fin.ST
8922,"A Generalized Structured Low-Rank Matrix Completion Algorithm for MR
  Image Recovery",Room 2,eess.IV
8923,Testing for idiosyncratic Treatment Effect Heterogeneity,Room 1,econ.EM
8924,"Convolutional Recurrent Reconstructive Network for Spatiotemporal
  Anomaly Detection in Solder Paste Inspection",Room 2,eess.IV
8925,"SSCU: an R/Bioconductor package for analyzing selective profile in
  synonymous codon usage",Room 6,q-bio.GN
8926,On the origin of ambiguity in efficient communication,Room 1,cs.CL
8927,Variational Tempering,Room 1,stat.ML
8928,Impulse Stability of Large Flocks: an Example,Room 5,nlin.PS
8929,"Stark deceleration of OH radicals in low-field-seeking and
  high-field-seeking quantum states",Room 8,physics.chem-ph
8930,Real-world forward rate dynamics with affine realizations,Room 3,q-fin.MF
8931,Jacobi Forms of Critical Weight and Weil Representations,Room 7,math.NT
8932,"Autoionization of spin-polarized metastable helium in tight anisotropic
  harmonic traps",Room 8,physics.atom-ph
8933,Epigenetic Tracking: a model for all biology,Room 6,nlin.AO
8934,The generalization of Latin hypercube sampling,Room 1,stat.CO
8935,"High order approximations and simulation schemes for the log-Heston
  process",Room 1,q-fin.CP
8936,"Spectral properties of two-body random matrix ensembles for boson
  systems with spin",Room 5,nlin.CD
8937,"Complexity, Development, and Evolution in Morphogenetic Collective
  Systems",Room 6,nlin.AO
8938,On the scaling law for cortical magnification factor,Room 2,q-bio.NC
8939,"RLS-Based Adaptive Dereverberation Tracing Abrupt Position Change of
  Target Speaker",Room 2,eess.AS
8940,Neural networks for stock price prediction,Room 3,q-fin.ST
8941,"A Neural Transfer Function for a Smooth and Differentiable Transition
  Between Additive and Multiplicative Interactions",Room 1,stat.ML
8942,"Semiclassical trace formula for the two-dimensional radial power-law
  potentials",Room 8,nlin.SI
8943,"ODE and Random Boolean networks in application to modelling of
  6-mercaptopurine metabolism",Room 6,q-bio.MN
8944,Equilibrium Reward for Liquidity Providers in Automated Market Makers,Room 3,q-fin.TR
8945,"Joint Cell Nuclei Detection and Segmentation in Microscopy Images Using
  3D Convolutional Networks",Room 2,eess.IV
8946,Optimal allocations with distortion risk measures and mixed risk attitudes,Room 3,econ.TH
8947,"On Local Description of Two-Dimensional Geodesic Flows with a Polynomial
  First Integral",Room 7,nlin.SI
8948,Quantum chaos in quantum dots coupled to bosons,Room 12,nlin.CD
8949,Using Statistical Moment Invariants and Entropy in Image Retrieval,Room 2,cs.MM
8950,"Inferring the connectivity of coupled oscillators and anticipating their
  transition to synchrony through lag-time analysis",Room 8,nlin.AO
8951,Is there an infant mortality in bacteria?,Room 6,q-bio.CB
8952,"On orthogonal and special orthogonal invariants of a single matrix of
  small order",Room 7,math.AC
8953,"Inferring Synaptic Structure in presence of Neural Interaction Time
  Scales",Room 6,q-bio.NC
8954,"A Bregman Extension of quasi-Newton updates I: An Information
  Geometrical framework",Room 1,stat.CO
8955,"Interpretation of Confocal ISO 21073: 2019 confocal microscopes: Optical
  data of fluorescence confocal microscopes for biological imaging- Recommended
  Methodology for Quality Control",Room 2,q-bio.OT
8956,Towards Fast and Accurate Streaming End-to-End ASR,Room 2,eess.AS
8957,"Discussion of ""2004 IMS Medallion Lecture: Local Rademacher complexities
  and oracle inequalities in risk minimization"" by V. Koltchinskii",Room 1,q-fin.RM
8958,"Multiple functional regression with both discrete and continuous
  covariates",Room 1,stat.ML
8959,Parameter inference and model selection in signaling pathway models,Room 6,q-bio.QM
8960,"From Cells to Islands: An unified Model of Cellular Parallel Genetic
  Algorithms",Room 10,cs.NE
8961,"Joint multifractal analysis based on the partition function approach:
  Analytical analysis, numerical simulation and empirical application",Room 3,q-fin.ST
8962,"Observational detection of eight mutual eclipses and occultations
  between the satellites of Uranus",Room 11,astro-ph.EP
8963,Asymptotics for Greeks under the constant elasticity of variance model,Room 3,q-fin.PR
8964,Equality of Opportunity and Opportunity Pluralism,Room 4,econ.TH
8965,Historical pseudo simplified solution of the Dirac-Coulomb equation,Room 5,physics.gen-ph
8966,"Towards Safe Reinforcement Learning Using NMPC and Policy Gradients:
  Part II - Deterministic Case",Room 4,eess.SY
8967,Effect of Bending Anisotropy on the 3D Conformation of Short DNA Loops,Room 8,q-bio.BM
8968,"The patch topology and the ultrafilter topology on the prime spectrum of
  a commutative ring",Room 7,math.AC
8969,Utility-Scale Energy Storage in an Imperfectly Competitive Power Sector,Room 4,eess.SY
8970,"Generation of the second-harmonic Bessel beams via nonlinear Bragg
  diffraction",Room 11,nlin.PS
8971,"Comment: Gibbs Sampling, Exponential Families, and Orthogonal
  Polynomials",Room 5,stat.ME
8972,Scattering Mechanisms and Modeling for Terahertz Wireless Communications,Room 11,eess.SP
8973,"Self-supervised Representation Learning With Path Integral Clustering
  For Speaker Diarization",Room 2,eess.AS
8974,Unit circle rectification of the MVDR beamformer,Room 10,eess.SP
8975,Projection Pursuit through $\Phi$-Divergence Minimisation,Room 2,stat.ME
8976,"On the scalability and convergence of simultaneous parameter
  identification and synchronization of dynamical systems",Room 5,cs.SY
8977,"Deep combinatorial optimisation for optimal stopping time problems :
  application to swing options pricing",Room 3,q-fin.CP
8978,"Localization of epileptic seizure with an approach based on the PSD with
  an autoregressive model",Room 1,stat.AP
8979,"Pricing of Mexican Interest Rate Swaps in Presence of Multiple
  Collateral Currencies",Room 3,q-fin.PR
8980,A General Approach for Lookback Option Pricing under Markov Models,Room 3,q-fin.CP
8981,"Development of Hydrogen Bonding Magnetic Reaction-based Gene Regulation
  through Cyclic Electromagnetic DNA Simulation in Double-Stranded DNA",Room 8,q-bio.OT
8982,Conducting Highly Principled Data Science: A Statistician's Job and Joy,Room 1,stat.OT
8983,A hybrid approach for the implementation of the Heston model,Room 12,q-fin.CP
8984,Graphene: A Pseudochiral Fermi Liquid,Room 8,cond-mat.mes-hall
8985,GeNet: Deep Representations for Metagenomics,Room 2,q-bio.GN
8986,Confidence sets for dynamic poverty indexes,Room 4,econ.EM
8987,"A kind of prediction from string phenomenology: extra matter at low
  energy",Room 7,hep-ph
8988,"CoroNet: A deep neural network for detection and diagnosis of COVID-19
  from chest x-ray images",Room 2,eess.IV
8989,"Collaborative OLAP with Tag Clouds: Web 2.0 OLAP Formalism and
  Experimental Evaluation",Room 1,cs.DB
8990,Spatiotemporal accessible solitons in fractional dimensions,Room 8,nlin.PS
8991,"Schur type functions associated with polynomial sequences of binomial
  type",Room 7,math.RT
8992,"Dependence of the physical properties of
  $Nd_{0.5}Ca_{0.5}MnO_{3+\delta}$ on the oxydation state of $Mn$",Room 8,cond-mat
8993,Using Covid-19 Response Policy to Estimate Open Water Swim Drafting Effects in Triathlon,Room 4,econ.GN
8994,Bistability in mushroom-type metamaterials,Room 11,physics.app-ph
8995,Metrics for Probabilistic Geometries,Room 1,stat.ML
8996,A Generalization of the Skew-Normal Distribution: The Beta Skew-Normal,Room 1,stat.ME
8997,Diluted Graphene Antiferromagnet,Room 8,cond-mat.mes-hall
8998,"Comments on ""Length scale dependence of DNA mechanical properties""",Room 8,q-bio.BM
8999,Group-theoretical properties of nilpotent modular categories,Room 7,math.QA
9000,On the probabilistic continuous complexity conjecture,Room 5,stat.ML
9001,xPerm: fast index canonicalization for tensor computer algebra,Room 5,cs.SC
9002,Functoriality of the canonical fractional Galois ideal,Room 7,math.KT
9003,"TFGAN: Time and Frequency Domain Based Generative Adversarial Network
  for High-fidelity Speech Synthesis",Room 2,eess.AS
9004,Bayesian Agglomerative Clustering with Coalescents,Room 1,stat.ML
9005,"Carbon Dioxide Production Responsibility on the Basis of comparing in
  Situ and mean CO2 Atmosphere Concentration Data",Room 4,physics.ao-ph
9006,"High-dimensional structure estimation in Ising models: Local separation
  criterion",Room 1,stat.ML
9007,Intrinsic Contextuality as the Crux of Consciousness,Room 8,q-bio.NC
9008,A logic with temporally accessible iteration,Room 12,cs.LO
9009,"Discriminative variable selection for clustering with the sparse
  Fisher-EM algorithm",Room 2,stat.ME
9010,Stochastic modeling of assets and liabilities with mortality risk,Room 3,q-fin.RM
9011,Options Pricing under Bayesian MS-VAR Process,Room 3,q-fin.MF
9012,Efficient exploration of discrete energy landscapes,Room 6,q-bio.BM
9013,"From matrix interpretations over the rationals to matrix interpretations
  over the naturals",Room 5,cs.SC
9014,"Variable-Rate Distributed Source Coding in the Presence of Byzantine
  Sensors",Room 10,cs.IT
9015,"Determining equilibrium osmolarity in Poly(ethylene glycol) / Chondrotin
  sulfate gels mimicking articular cartilage",Room 11,q-bio.TO
9016,"CNN-Based Deep Architecture for Reinforced Concrete Delamination
  Segmentation Through Thermography",Room 2,eess.IV
9017,The Formation and Architecture of Young Planetary Systems,Room 11,astro-ph.EP
9018,Dynamic matching games: stationary equilibria under varying commitments,Room 4,econ.TH
9019,Distributed Work Stealing for Constraint Solving,Room 1,cs.PL
9020,Leverage effect in energy futures,Room 3,q-fin.ST
9021,Multimodal Learning For Classroom Activity Detection,Room 2,eess.AS
9022,Another Odd Thing About Unparticle Physics,Room 5,hep-ph
9023,"Enhancing Poverty Targeting with Spatial Machine Learning: An
  application to Indonesia",Room 4,econ.EM
9024,Stochastic inference with deterministic spiking neurons,Room 2,q-bio.NC
9025,Optimization of Financial Instrument Parcels in Stochastic Wavelet Model,Room 3,q-fin.ST
9026,Singer Identification Using Convolutional Acoustic Motif Embeddings,Room 2,eess.AS
9027,"On the Difficulty of Characterizing Network Formation with Endogenous
  Behavior",Room 4,econ.TH
9028,Adjoints of composition operators with rational symbol,Room 7,math.FA
9029,A Graph Downsampling Technique Based On Graph Fourier Transform,Room 2,stat.OT
9030,Edge-masked CT image reconstruction from limited data,Room 2,eess.IV
9031,Stochastic Models of User-Contributory Web Sites,Room 1,cs.CY
9032,European Option Pricing with Liquidity Shocks,Room 4,q-fin.PR
9033,The Design and Validation of the Quantum Mechanics Conceptual Survey,Room 11,physics.ed-ph
9034,"Exact meromorphic stationary solutions of the real cubic Swift-Hohenberg
  equation",Room 5,nlin.SI
9035,"On dual Schur domain decomposition method for linear first-order
  transient problems",Room 5,cs.NA
9036,"Probabilistically Certified Region of Attraction of a Tumor Growth Model
  with Combined Chemo- and Immunotherapy",Room 6,eess.SY
9037,"MicroRNAs as a selective channel of communication between competing
  RNAs: a steady-state theory",Room 6,q-bio.MN
9038,Smile Modelling in Commodity Markets,Room 3,q-fin.PR
9039,Plasma polarization in massive astrophysical objects,Room 11,astro-ph.SR
9040,Proposal for a United Nations Basic Space Technology Initiative,Room 11,physics.space-ph
9041,Dynamic Models of Learning and Education Measurement,Room 4,physics.ed-ph
9042,"Gauge symmetry in Kitaev-type spin models and index theorems on odd
  manifolds",Room 8,cond-mat.str-el
9043,Differential Operator in Seizure Detection,Room 1,q-bio.QM
9044,Evaluating the Robustness of Rogue Waves Under Perturbations,Room 5,nlin.PS
9045,"Impulse-induced generation of stationary and moving discrete breathers
  in nonlinear oscillator networks",Room 5,nlin.PS
9046,High-dimensional Penalized Linear IV Estimation & Inference using BRIDGE and Adaptive LASSO,Room 2,econ.EM
9047,"Modeling the creative process of the mind by prime numbers and a simple
  proof of the Riemann Hypothesis",Room 7,math.GM
9048,Multidimensional persistence in biomolecular data,Room 1,q-bio.BM
9049,Upper bounds on entangling rates of bipartite Hamiltonians,Room 5,quant-ph
9050,"Dynamic modelling of hepatitis C virus transmission among people who
  inject drugs: a methodological review",Room 6,stat.AP
9051,A 3.8 ps RMS time synchronization implemented in a 20 nm FPGA,Room 11,eess.SP
9052,"Statistical Multiresolution Estimation for Variational Imaging: With an
  Application in Poisson-Biophotonics",Room 2,stat.AP
9053,Assessing Sensitivity to Unconfoundedness: Estimation and Inference,Room 4,econ.EM
9054,Effect of Attachment Surface on Biofilm Response and the Dissipation of PAHs and nitrogen in Submerged Plant System under the application of Bactericide and Algaecide,Room 11,q-bio.CB
9055,"What the Cited and Citing Environments Reveal of ""Advances in
  Atmospheric Sciences""?",Room 12,cs.DL
9056,"The behavior of dealers and clients on the European corporate bond
  market: the case of Multi-Dealer-to-Client platforms",Room 3,q-fin.ST
9057,Stability of localized wave fronts in bistable systems,Room 6,q-bio.CB
9058,Asymptotic improvement of the Gilbert-Varshamov bound for linear codes,Room 10,cs.IT
9059,Properties of Hagen-Poiseuille flow in channel networks,Room 6,q-bio.CB
9060,"Modelling transfer profits as externalities in a cooperative
  game-theoretic model of natural gas networks",Room 4,econ.TH
9061,"Cell-cycle coupled expression minimizes random fluctuations in gene
  product levels",Room 6,q-bio.MN
9062,Ensemble learning for portfolio valuation and risk management,Room 3,q-fin.CP
9063,Unsupervised Bump Hunting Using Principal Components,Room 1,stat.ML
9064,"Vowel-based Meeteilon dialect identification using a Random Forest
  classifier",Room 2,eess.AS
9065,"Extremely strong-coupling superconductivity and anomalous lattice
  properties in the beta-pyrochlore oxide KOs2O6",Room 8,cond-mat.supr-con
9066,Phase space classification of an Ising Cellular Automaton: the Q2R model,Room 5,nlin.CG
9067,"Coordination for a Group of Autonomous Mobile Agents with Multiple
  Leaders",Room 5,math-ph
9068,"Quadrantids 2008 and 2009: Detection of Dust in the Atmosphere by
  Polarization Twilight Sky Measurements",Room 11,astro-ph.EP
9069,Who Manipulates Data During Pandemics? Evidence from Newcomb-Benford Law,Room 4,econ.GN
9070,Predicting Influential Users in Online Social Networks,Room 4,cs.CY
9071,Emerging trends in soybean industry,Room 3,econ.GN
9072,"Estimating granular house price distributions in the Australian market
  using Gaussian mixtures",Room 3,econ.EM
9073,"$\infty-$Dimensional Cerebellar Controller for Realistic Human
  Biodynamics",Room 6,q-bio.NC
9074,Decentralized Trading Networks: Equilibria and Fairness,Room 4,econ.TH
9075,Evolutionary Neural Architecture Search for Retinal Vessel Segmentation,Room 2,eess.IV
9076,A Global Minimum Tax for Large Firms Only: Implications for Tax Competition,Room 3,econ.GN
9077,Doppler controlled dynamics of a mirror attached to a spring,Room 11,cond-mat.other
9078,Can We Monitor Breathing During Sleep via Wi-Fi on Smartphone?,Room 2,eess.SP
9079,ProQ3: Improved model quality assessments using Rosetta energy terms,Room 6,q-bio.BM
9080,Extra-cellular matrix rigidity may dictate the fate of injury outcome,Room 6,q-bio.TO
9081,"Dynamic Rupture, Fault Opening, and Near Fault Particle Motions along an
  Interface between Dissimilar Materials",Room 8,physics.geo-ph
9082,"The Future of Traditional Fuel Vehicles (TFV) and New Energy Vehicles
  (NEV): Creative Destruction or Co-existence?",Room 4,econ.GN
9083,"Spreading speeds and traveling waves for non-cooperative
  integro-difference systems",Room 8,q-bio.PE
9084,"RNA under Tension: Folding Landscapes, Kinetic Partitioning Mechanism,
  and Molecular Tensegrity",Room 6,q-bio.BM
9085,"A test of non-identifying restrictions and confidence regions for
  partially identified parameters",Room 4,econ.EM
9086,"Multichannel audio signal source separation based on an Interchannel
  Loudness Vector Sum",Room 2,cs.SD
9087,"Modelo de maturidade em gerenciamento de riscos em projetos (Project
  Risk Management Model Maturity)",Room 4,q-fin.RM
9088,Discrete Scaling Based on Operator Theory,Room 5,eess.SP
9089,Radiative Losses in Plasma Accelerators,Room 11,physics.acc-ph
9090,"Perceptual-based deep-learning denoiser as a defense against adversarial
  attacks on ASR systems",Room 12,eess.AS
9091,Burst firing is a neural code in an insect auditory system,Room 2,q-bio.NC
9092,"The Price of Empire: Unrest Location and Sovereign Risk in Tsarist
  Russia",Room 9,econ.GN
9093,"On the Evolutionary Fate of Mutant Allele at Duplicate Loci: a
  Theoretical and Simulation Study",Room 6,q-bio.PE
9094,Sparse approximation and recovery by greedy algorithms in Banach spaces,Room 2,stat.ML
9095,Cumulant Approach of Arbitrary Truncated Levy Flight,Room 1,q-fin.ST
9096,"Variational structure of the optimal artificial diffusion method for the
  advection-diffusion equation",Room 5,cs.CE
9097,Analyzing the Performance of Active Queue Management Algorithms,Room 10,cs.PF
9098,Pre-processing for approximate Bayesian computation in image analysis,Room 2,stat.CO
9099,Model reduction for networks of coupled oscillators,Room 8,nlin.PS
9100,"Intrinsic noise profoundly alters the dynamics and steady state of
  morphogen-controlled bistable genetic switches",Room 6,q-bio.MN
9101,"The Quantum de Laval Nozzle: stability and quantum dynamics of sonic
  horizons in a toroidally trapped Bose gas containing a superflow",Room 8,cond-mat.other
9102,"Lambert W random variables - a new family of generalized skewed
  distributions with applications to risk estimation",Room 1,stat.AP
9103,"Illustrating a neural model of logic computations: The case of Sherlock
  Holmes' old maxim",Room 1,q-bio.NC
9104,Shape and Trajectory Tracking of Moving Obstacles,Room 5,cs.GR
9105,Trading characteristics of member firms on the Korea Exchange,Room 3,q-fin.GN
9106,Portfolio risk allocation through Shapley value,Room 3,q-fin.CP
9107,"On SDEs with Lipschitz coefficients, driven by continuous, model-free
  martingales",Room 5,q-fin.MF
9108,Alexander and Thurston norms of graph links,Room 7,math.AT
9109,Intersective polynomials and polynomial Szemeredi theorem,Room 5,math.DS
9110,Coherence without unique normal forms,Room 7,math.CT
9111,Decomposing Co-Movements in Matrix-Valued Time Series: A Pseudo-Structural Reduced-Rank Approach,Room 3,econ.EM
9112,"Comment on ""Experimental Demonstration of the Time Reversal
  Aharonov-Casher Effect""",Room 8,cond-mat.mes-hall
9113,"The Correlation of Spectral Lag Evolution with Prompt Optical Emission
  in GRB 080319B",Room 11,astro-ph.HE
9114,On ternary square-free circular words,Room 5,cs.FL
9115,Kolmogorov stochasticity parameter as a measure of quantum chaos,Room 5,nlin.CD
9116,Determining Optimal Trading Rules without Backtesting,Room 3,q-fin.PM
9117,New Ica-Beamforming Method to Under-Determined BSS,Room 7,cs.SD
9118,"On the performance of algorithms for the minimization of
  $\ell_1$-penalized functionals",Room 5,math.NA
9119,"Single Channel Cutaneous Electrogastrography Parameters from Local White
  Rabbit (Oryctolagus cuniculus)",Room 6,q-bio.QM
9120,Doubly Robust Identification for Causal Panel Data Models,Room 4,econ.EM
9121,Villager's dilemma,Room 4,cs.GT
9122,Causality in classical electrodynamics,Room 11,physics.ed-ph
9123,Diffusion Anomaly in a three dimensional lattice gas,Room 8,cond-mat.soft
9124,"A splitting result for the algebraic K-theory of projective toric
  schemes",Room 7,math.KT
9125,On local properties of Hochschild cohomology of a C$^*$- algebra,Room 7,math.OA
9126,Spectral Functions and rf Response of Ultracold Fermionic Atoms,Room 8,cond-mat.quant-gas
9127,Nontrivial quantum effects in biology: A skeptical physicists' view,Room 8,physics.gen-ph
9128,Convolutional Phase Retrieval via Gradient Descent,Room 1,stat.CO
9129,"Feature Lines for Illustrating Medical Surface Models: Mathematical
  Background and Survey",Room 2,cs.GR
9130,AI Assisted Economics Measurement From Survey: Evidence from Public Employee Pension Choice,Room 1,econ.EM
9131,Electron Beam Instability in Left-Handed Media,Room 11,physics.class-ph
9132,Human Indignity: From Legal AI Personhood to Selfish Memes,Room 4,cs.GL
9133,Seesaw Experimentation: A/B Tests with Spillovers,Room 3,econ.GN
9134,An Application of Chromatic Prototypes,Room 7,cs.HC
9135,"On the Radiality Constraints for Distribution System Restoration and
  Reconfiguration Problems",Room 10,eess.SY
9136,Robust Sequential Steady-State Analysis of Cascading Outages,Room 10,eess.SP
